Component,Classification,Reason
tesisproject.backend/Controllers/AcademicPeriodsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ArticlesConfigurationController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ArticlesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ArticlesRegistrationMatricesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/AuthController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/BudgetsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/CatalogControllerBase.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ConvocationsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/CountriesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/DocumentRecognitionController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/DocumentsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/DocumentTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ExportTemplatesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/Extensions/ExternalResearcherProjectsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ExternalAcademicsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ExternalPeriodsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ExternalResearchersController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
