file,old_types,new_types,removed_lines,added_lines,semantic_references
tesisproject.backend/Repositories/Implementations/ConvocationRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.Convocation> ; tesisproject.shared.Entities.Core.Convocation ; tesisproject.shared.Entities.Core.ConvocationRule ; tesisproject.shared.Entities.Core.ConvocationRuleIndexing,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.Convocation> ; tesisproject.backend.Data.UnifiedEntities.Core.Convocation ; tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRule ; tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRuleIndexing,"using tesisproject.shared.Entities.Core;
        public ConvocationRepository(AppDbContext ctx) : base(ctx) { }","using Convocation = tesisproject.backend.Data.UnifiedEntities.Core.Convocation;
using ConvocationRule = tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRule;
using ConvocationRuleIndexing = tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRuleIndexing;
        public ConvocationRepository(UnifiedDideDbContext ctx) : base(ctx) { }",39
tesisproject.backend/Repositories/Implementations/ExportFieldRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.shared.Entities.Export.ExportField,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Data.UnifiedEntities.Export.ExportField,"using tesisproject.shared.Entities.Export;
        private readonly AppDbContext _db;
        public ExportFieldRepository(AppDbContext db)","using tesisproject.backend.Data.UnifiedEntities.Export;
        private readonly UnifiedDideDbContext _db;
        public ExportFieldRepository(UnifiedDideDbContext db)",12
tesisproject.backend/Repositories/Implementations/ExportTemplateColumnRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.shared.Entities.Export.ExportTemplateColumn,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Data.UnifiedEntities.Export.ExportTemplateColumn,"using tesisproject.shared.Entities.Export;
        private readonly AppDbContext _db;
        public ExportTemplateColumnRepository(AppDbContext db)","using tesisproject.backend.Data.UnifiedEntities.Export;
        private readonly UnifiedDideDbContext _db;
        public ExportTemplateColumnRepository(UnifiedDideDbContext db)",9
tesisproject.backend/Repositories/Implementations/ExportTemplateRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.shared.Entities.Export.ExportTemplate,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Data.UnifiedEntities.Export.ExportTemplate,"using tesisproject.shared.Entities.Export;
        private readonly AppDbContext _db;
        public ExportTemplateRepository(AppDbContext db)","using tesisproject.backend.Data.UnifiedEntities.Export;
        private readonly UnifiedDideDbContext _db;
        public ExportTemplateRepository(UnifiedDideDbContext db)",12
tesisproject.backend/Repositories/Implementations/GenericRepository.cs,,,"        protected readonly AppDbContext _ctx;
        public GenericRepository(AppDbContext ctx)","        protected readonly DbContext _ctx;
        public GenericRepository(AppDbContext ctx) : this((DbContext)ctx) { }

        protected GenericRepository(DbContext ctx)",0
tesisproject.backend/Repositories/Implementations/ObjectiveActivityUserRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.ObjectiveActivityUser> ; tesisproject.shared.Entities.Core.ObjectiveActivityUser,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.ObjectiveActivityUser> ; tesisproject.backend.Data.UnifiedEntities.Core.ObjectiveActivityUser,        public ObjectiveActivityUserRepository(AppDbContext ctx) : base(ctx) { },"using ObjectiveActivityUser = tesisproject.backend.Data.UnifiedEntities.Core.ObjectiveActivityUser;
        public ObjectiveActivityUserRepository(UnifiedDideDbContext ctx) : base(ctx) { }",13
tesisproject.backend/Repositories/Implementations/ProductAttributeDefinitionRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition> ; tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition> ; tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition,"        private readonly AppDbContext _ctx;
        public ProductAttributeDefinitionRepository(AppDbContext ctx) : base(ctx) => _ctx = ctx;","using ProductAttributeDefinition = tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition;
        private readonly UnifiedDideDbContext _ctx;
        public ProductAttributeDefinitionRepository(UnifiedDideDbContext ctx) : base(ctx) => _ctx = ctx;",12
tesisproject.backend/Repositories/Implementations/ProjectObjectiveRepository.cs,,,"            return await _ctx.ProjectObjectives
            return await _ctx.ProjectObjectives
            var rows = await _ctx.VisitObjectiveActivityProgresses","            return await _ctx.Set<ProjectObjective>()
            return await _ctx.Set<ProjectObjective>()
            var rows = await _ctx.Set<VisitObjectiveActivityProgress>()",0
tesisproject.backend/Repositories/Implementations/VisitIssueRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.VisitIssue> ; tesisproject.shared.Entities.Core.VisitIssue,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue> ; tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue,        public VisitIssueRepository(AppDbContext ctx) : base(ctx) { },"using VisitIssue = tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue;
        public VisitIssueRepository(UnifiedDideDbContext ctx) : base(ctx) { }",14
tesisproject.backend/Repositories/Implementations/VisitObjectiveActivityProgressRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress> ; tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress> ; tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress,"        public VisitObjectiveActivityProgressRepository(AppDbContext ctx) : base(ctx) { }
            var rows = await _ctx.VisitObjectiveActivityProgresses
            var sums = await _ctx.VisitObjectiveActivityProgresses","using VisitObjectiveActivityProgress = tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress;
        public VisitObjectiveActivityProgressRepository(UnifiedDideDbContext ctx) : base(ctx) { }
            var rows = await _ctx.Set<VisitObjectiveActivityProgress>()
            var sums = await _ctx.Set<VisitObjectiveActivityProgress>()",14
