category,file,line,reference,usage
docs,docs/database-migrations.md,8,AppDbContext,| AppDbContext | DefaultConnection | dbo | dbo.__EFMigrationsHistory |
docs,docs/database-migrations.md,10,ArticlesDbContext,| ArticlesDbContext | ArticlesOltpConnection | dbo | dbo.__EFMigrationsHistoryArticles |
docs,docs/database-migrations.md,12,AppDbContext,"`IndexingSources` pertenece a AppDbContext y se comparte con artículos. Artículos mapea su propiedad `IndexingSourceId` a la columna `Id` y no migra ese catálogo. Al crear una base nueva, ejecutar AppDbContext antes de ArticlesDbContext y apuntar ambos a la misma base."
docs,docs/database-migrations.md,12,AppDbContext,"`IndexingSources` pertenece a AppDbContext y se comparte con artículos. Artículos mapea su propiedad `IndexingSourceId` a la columna `Id` y no migra ese catálogo. Al crear una base nueva, ejecutar AppDbContext antes de ArticlesDbContext y apuntar ambos a la misma base."
docs,docs/database-migrations.md,12,ArticlesDbContext,"`IndexingSources` pertenece a AppDbContext y se comparte con artículos. Artículos mapea su propiedad `IndexingSourceId` a la columna `Id` y no migra ese catálogo. Al crear una base nueva, ejecutar AppDbContext antes de ArticlesDbContext y apuntar ambos a la misma base."
docs,docs/database-migrations.md,17,AppDbContext,dotnet ef migrations add NombreDelCambio --context AppDbContext --output-dir Migrations -- --environment Development
docs,docs/database-migrations.md,19,ArticlesDbContext,dotnet ef migrations add NombreDelCambioArticulos --context ArticlesDbContext --output-dir Migrations/Articles -- --environment Development
docs,docs/database-migrations.md,25,AppDbContext,dotnet ef database update --context AppDbContext -- --environment Development
docs,docs/database-migrations.md,27,ArticlesDbContext,dotnet ef database update --context ArticlesDbContext -- --environment Development
docs,docs/unified-dide-final.md,7,IdentityUser<int>,"- `tesisproject.backend/Data/UnifiedDideDbContext.cs`: hereda de `IdentityDbContext<IdentityUser<int>, IdentityRole<int>, int>`, constructor normal y llamada a `base.OnModelCreating`. Selecciona únicamente `UnifiedConfigurations` por namespace y aplica `NoAction` a todas las FK al finalizar."
docs,docs/unified-dide-final.md,24,AcademicPeriodId,"| AcademicTerm | PK local, ExternalPeriodId, Name, StartDate, EndDate y LastSyncedAt. La propiedad `Visit.AcademicPeriodId` se renombra a `AcademicTermId`, igual que Article. |"
docs,docs/unified-dide-final.md,31,ArticleParticipants,## Campos heredados de ArticleParticipants
docs,docs/unified-dide-final.md,76,AppDbContext,"| Contratos del modelo | **211 comprobaciones correctas**, incluyendo cobertura de todas las entidades de AppDbContext/ArticlesDbContext y sus dos reemplazos, aislamiento de tipos, snapshot actualizado y ausencia de DW/cascadas/columnas ocultas. |"
docs,docs/unified-dide-final.md,76,ArticlesDbContext,"| Contratos del modelo | **211 comprobaciones correctas**, incluyendo cobertura de todas las entidades de AppDbContext/ArticlesDbContext y sus dos reemplazos, aislamiento de tipos, snapshot actualizado y ausencia de DW/cascadas/columnas ocultas. |"
docs,docs/unified-dide-final.md,80,ArticleParticipants,| Tablas sustituidas | No existen ArticleParticipants ni ArticleParticipantDynamicFieldValues. |
docs,docs/unified-dide-final.md,80,ArticleParticipantDynamicFieldValues,| Tablas sustituidas | No existen ArticleParticipants ni ArticleParticipantDynamicFieldValues. |
docs,docs/unified-dide-poc.md,45,ArticleParticipants,## Destino de ArticleParticipants
docs,docs/unified-dide-poc.md,65,ArticleParticipant,`ArticleParticipant` original continúa intacto y presente en `ArticlesDbContext`; no existe en Unified. Los snapshots no sustituyen las fuentes actuales ni disparan sincronización.
docs,docs/unified-dide-poc.md,65,ArticlesDbContext,`ArticleParticipant` original continúa intacto y presente en `ArticlesDbContext`; no existe en Unified. Los snapshots no sustituyen las fuentes actuales ni disparan sincronización.
