model,source,target,owner,name,type,path,line
legacy,ExternalResearcherProject,ExternalResearcher,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ExternalResearcherProject.ExternalResearcherProject,ExternalResearcher,ExternalResearcher,tesisproject.shared/Entities/Core/ExternalResearcherProject.cs,50
legacy,ExternalResearcherProject,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ExternalResearcherProject.ExternalResearcherProject,Project,Project,tesisproject.shared/Entities/Core/ExternalResearcherProject.cs,51
legacy,ProjectExtension,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectExtension.ProjectExtension,Project,Project,tesisproject.shared/Entities/Core/ProjectExtension.cs,36
legacy,ProjectExtension,Document,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectExtension.ProjectExtension,Document,Document?,tesisproject.shared/Entities/Core/ProjectExtension.cs,37
legacy,ProjectExtension,ProjectExtensionType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectExtension.ProjectExtension,ProjectExtensionType,ProjectExtensionType?,tesisproject.shared/Entities/Core/ProjectExtension.cs,38
legacy,ExportTemplateColumn,ExportTemplate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Export.ExportTemplateColumn.ExportTemplateColumn,Template,ExportTemplate,tesisproject.shared/Entities/Export/ExportTemplateColumn.cs,62
legacy,ExportTemplateColumn,ExportField,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Export.ExportTemplateColumn.ExportTemplateColumn,ExportField,ExportField,tesisproject.shared/Entities/Export/ExportTemplateColumn.cs,65
legacy,ObjectiveActivityUser,ObjectiveActivity,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ObjectiveActivityUser.ObjectiveActivityUser,ObjectiveActivity,ObjectiveActivity,tesisproject.shared/Entities/Core/ObjectiveActivityUser.cs,43
legacy,ObjectiveActivityUser,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ObjectiveActivityUser.ObjectiveActivityUser,Visit,Visit,tesisproject.shared/Entities/Core/ObjectiveActivityUser.cs,44
legacy,DimProjectState,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimProjectState.DimProjectState,Projects,ICollection<FactProject>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimProjectState.cs,23
legacy,Institution,Country,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.Institution.Institution,Country,Country?,tesisproject.shared/Entities/Catalogs/Institution.cs,20
legacy,DimIndexingDatabase,FactProduct,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimIndexingDatabase.DimIndexingDatabase,Products,ICollection<FactProduct>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimIndexingDatabase.cs,19
legacy,ConvocationRule,Convocation,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ConvocationRule.ConvocationRule,Convocation,Convocation?,tesisproject.shared/Entities/Core/ConvocationRule.cs,18
