Interfaz,Implementación,Entidades Unified principales
IUnifiedAppConfigurationRepository,UnifiedAppConfigurationRepository,Core.AppConfiguration
IUnifiedAppUserRepository,UnifiedAppUserRepository,Auth.AppUser
IUnifiedBudgetRepository,UnifiedBudgetRepository,Core.Budget; Core.BudgetTransaction
IUnifiedCatalogRepository<T>,UnifiedCatalogRepository<T>,Base.CatalogEntityBase y catálogos Unified
IUnifiedConvocationRepository,UnifiedConvocationRepository,Core.Convocation; Core.ConvocationRule; Core.ConvocationRuleIndexing
IUnifiedDocumentRepository,UnifiedDocumentRepository,Core.Document
IUnifiedExportFieldRepository,UnifiedExportFieldRepository,Export.ExportField
IUnifiedExportTemplateColumnRepository,UnifiedExportTemplateColumnRepository,Export.ExportTemplateColumn
IUnifiedExportTemplateRepository,UnifiedExportTemplateRepository,Export.ExportTemplate
IUnifiedExternalResearcherProjectRepository,UnifiedExternalResearcherProjectRepository,Core.ExternalResearcherProject
IUnifiedExternalResearcherRepository,UnifiedExternalResearcherRepository,Core.ExternalResearcher
IUnifiedFacultyScopeFacultyRepository,UnifiedFacultyScopeFacultyRepository,Core.FacultyScopeFaculty
IUnifiedFacultyScopeRepository,UnifiedFacultyScopeRepository,Core.FacultyScope
IUnifiedGroupMemberRepository,UnifiedGroupMemberRepository,Core.GroupMember
IUnifiedGroupRepository,UnifiedGroupRepository,Core.Group
IUnifiedObjectiveActivityRepository,UnifiedObjectiveActivityRepository,Core.ObjectiveActivity
IUnifiedObjectiveActivityUserRepository,UnifiedObjectiveActivityUserRepository,Core.ObjectiveActivityUser
IUnifiedProductAttributeDefinitionRepository,UnifiedProductAttributeDefinitionRepository,Core.Products.ProductAttributeDefinition
IUnifiedProductValueRepository,UnifiedProductValueRepository,Core.Products.ProductValue
IUnifiedProjectDocumentRepository,UnifiedProjectDocumentRepository,Core.ProjectDocument
IUnifiedProjectExtensionRepository,UnifiedProjectExtensionRepository,Core.ProjectExtension
IUnifiedProjectObjectiveRepository,UnifiedProjectObjectiveRepository,Core.ProjectObjective; Core.VisitObjectiveActivityProgress
IUnifiedProjectRepository,UnifiedProjectRepository,Core.Project
IUnifiedProjectResearchCategoryRepository,UnifiedProjectResearchCategoryRepository,Core.ProjectResearchCategory
IUnifiedResearchCategoryRepository,UnifiedResearchCategoryRepository,Catalogs.ResearchCategory
IUnifiedUserFacultyScopeAssignmentRepository,UnifiedUserFacultyScopeAssignmentRepository,Core.UserFacultyScopeAssignment; Core.FacultyScopeFaculty
IUnifiedVisitIssueRepository,UnifiedVisitIssueRepository,Core.VisitIssue
IUnifiedVisitObjectiveActivityProgressRepository,UnifiedVisitObjectiveActivityProgressRepository,Core.VisitObjectiveActivityProgress
IUnifiedVisitRepository,UnifiedVisitRepository,Core.Visit; Core.Project
