Repository legacy,Clasificación,Repository Unified,Estado,Motivo
AppConfigurationRepository,DIRECT,UnifiedAppConfigurationRepository,CREATED,CRUD y consultas equivalentes sobre AppConfiguration
AppUserRepository,DIRECT,UnifiedAppUserRepository,CREATED,Conserva IdUser IdLocal e IdAsp sin usar IdentityUser directamente
BudgetRepository,DIRECT,UnifiedBudgetRepository,CREATED,Incluye BudgetTransaction y sus consultas equivalentes
CatalogRepository<T>,DIRECT,UnifiedCatalogRepository<T>,CREATED,Usa Unified CatalogEntityBase y conserva filtros y revisión de referencias
ConvocationRepository,DIRECT,UnifiedConvocationRepository,CREATED,Convocation Rules e Indexing equivalentes
DocumentRepository,DIRECT,UnifiedDocumentRepository,CREATED,Document y DocumentType equivalentes
ExportFieldRepository,DIRECT,UnifiedExportFieldRepository,CREATED,Consultas y mutaciones equivalentes
ExportTemplateColumnRepository,DIRECT,UnifiedExportTemplateColumnRepository,CREATED,Consultas y mutaciones equivalentes
ExportTemplateRepository,DIRECT,UnifiedExportTemplateRepository,CREATED,Includes de columnas y campos equivalentes
ExternalResearcherProjectRepository,DIRECT,UnifiedExternalResearcherProjectRepository,CREATED,Relaciones Unified equivalentes
ExternalResearcherRepository,DIRECT,UnifiedExternalResearcherRepository,CREATED,Consultas equivalentes
FacultyScopeFacultyRepository,DIRECT,UnifiedFacultyScopeFacultyRepository,CREATED,Trabaja con FacultyId local sin resolver IDs externos
FacultyScopeRepository,DIRECT,UnifiedFacultyScopeRepository,CREATED,CRUD y relaciones del scope equivalentes
GenericRepository<T>,DIRECT,GenericRepository<T>,CREATED,Reutilizado con DbContext; no se duplicó
GroupMemberRepository,DIRECT,UnifiedGroupMemberRepository,CREATED,Consultas por Group y AppUser equivalentes
GroupRepository,DIRECT,UnifiedGroupRepository,CREATED,Queries e includes equivalentes sobre entidades Unified
ObjectiveActivityRepository,DIRECT,UnifiedObjectiveActivityRepository,CREATED,Queries e includes equivalentes
ObjectiveActivityUserRepository,DIRECT,UnifiedObjectiveActivityUserRepository,CREATED,Queries e includes equivalentes
ProductAttributeDefinitionRepository,DIRECT,UnifiedProductAttributeDefinitionRepository,CREATED,No depende de la conversión ProductAuthor
ProductValueRepository,DIRECT,UnifiedProductValueRepository,CREATED,Consultas de valores y definiciones equivalentes
ProjectDocumentRepository,DIRECT,UnifiedProjectDocumentRepository,CREATED,Project y Document Unified equivalentes en estas queries
ProjectExtensionRepository,DIRECT,UnifiedProjectExtensionRepository,CREATED,Queries de extensión equivalentes
ProjectObjectiveRepository,DIRECT,UnifiedProjectObjectiveRepository,CREATED,Objetivos actividades y progreso usan navegaciones Unified equivalentes
ProjectRepository,DIRECT,UnifiedProjectRepository,CREATED,GetByTypeAsync no cruza fronteras funcionales
ProjectResearchCategoryRepository,DIRECT,UnifiedProjectResearchCategoryRepository,CREATED,CRUD genérico equivalente
ResearchCategoryRepository,DIRECT,UnifiedResearchCategoryRepository,CREATED,CRUD genérico equivalente
UserFacultyScopeAssignmentRepository,DIRECT,UnifiedUserFacultyScopeAssignmentRepository,CREATED,Distingue IdentityUserId y FacultyId local en sus firmas
VisitIssueRepository,DIRECT,UnifiedVisitIssueRepository,CREATED,Queries por Visit equivalentes
VisitObjectiveActivityProgressRepository,DIRECT,UnifiedVisitObjectiveActivityProgressRepository,CREATED,Queries de progreso equivalentes
VisitRepository,DIRECT,UnifiedVisitRepository,CREATED,No usa AcademicPeriodId en sus métodos; programa visitas con entidades Unified
ProductRepository,ADAPTABLE,UnifiedProductRepository,CREATED,Preserva queries e incluye ProductAuthor Author AppUser y ExternalResearcher
ProductAuthorRepository,SPECIAL,UnifiedProductAuthorRepository,CREATED,Reemplaza ExistsForUserAsync por ExistsForAuthorAsync sin equiparar UserId y AuthorId
N/A,NEW,UnifiedAuthorRepository,CREATED,Resuelve Author por AppUserId o ExternalResearcherId sin usar ExternalAuthorId como tercera fuente
ArticleReadRepository,SPECIAL,,SPECIAL,Depende de Article Title Participants y del ArticlesDbContext
AspNetUserRepository,SPECIAL,,SPECIAL,Opera IdentityUser y su store runtime sigue asociado a AppDbContext
