Propiedad futura,Contrato disponible
AppConfigurations,IUnifiedAppConfigurationRepository
AppUsers,IUnifiedAppUserRepository
Authors,IUnifiedAuthorRepository
Budgets,IUnifiedBudgetRepository
Convocations,IUnifiedConvocationRepository
Documents,IUnifiedDocumentRepository
ExportFields,IUnifiedExportFieldRepository
ExportTemplateColumns,IUnifiedExportTemplateColumnRepository
ExportTemplates,IUnifiedExportTemplateRepository
ExternalResearcherProjects,IUnifiedExternalResearcherProjectRepository
ExternalResearchers,IUnifiedExternalResearcherRepository
FacultyScopeFaculties,IUnifiedFacultyScopeFacultyRepository
FacultyScopes,IUnifiedFacultyScopeRepository
Groups,IUnifiedGroupRepository
GroupMembers,IUnifiedGroupMemberRepository
ObjectiveActivities,IUnifiedObjectiveActivityRepository
ObjectiveActivityUsers,IUnifiedObjectiveActivityUserRepository
ProductAuthors,IUnifiedProductAuthorRepository
ProductAttributeDefinitions,IUnifiedProductAttributeDefinitionRepository
Products,IUnifiedProductRepository
ProductValues,IUnifiedProductValueRepository
ProjectDocuments,IUnifiedProjectDocumentRepository
ProjectExtensions,IUnifiedProjectExtensionRepository
ProjectObjectives,IUnifiedProjectObjectiveRepository
ProjectResearchCategories,IUnifiedProjectResearchCategoryRepository
Projects,IUnifiedProjectRepository
ResearchCategories,IUnifiedResearchCategoryRepository
UserFacultyScopeAssignments,IUnifiedUserFacultyScopeAssignmentRepository
VisitIssues,IUnifiedVisitIssueRepository
VisitObjectiveActivityProgresses,IUnifiedVisitObjectiveActivityProgressRepository
Visits,IUnifiedVisitRepository
Countries,IUnifiedCatalogRepository<Country>
DocumentTypes,IUnifiedCatalogRepository<DocumentType>
FundingTypes,IUnifiedCatalogRepository<FundingType>
IndexingSources,IUnifiedCatalogRepository<IndexingSource>
Institutions,IUnifiedCatalogRepository<Institution>
MemberRoleTypes,IUnifiedCatalogRepository<MemberRoleType>
ObjectiveTypes,IUnifiedCatalogRepository<ObjectiveType>
ProductAttributes,IUnifiedCatalogRepository<ProductAttribute>
ProductTypes,IUnifiedCatalogRepository<ProductType>
ProjectExtensionTypes,IUnifiedCatalogRepository<ProjectExtensionType>
ProjectOriginTypes,IUnifiedCatalogRepository<ProjectOriginType>
ProjectStates,IUnifiedCatalogRepository<ProjectState>
ProjectTypes,IUnifiedCatalogRepository<ProjectType>
ResearchCategoryGroups,IUnifiedCatalogRepository<ResearchCategoryGroup>
ResearchCategoryTypes,IUnifiedCatalogRepository<ResearchCategoryType>
TransactionTypes,IUnifiedCatalogRepository<TransactionType>
VisitStates,IUnifiedCatalogRepository<VisitState>
