service,currentCall,source,localCatalog,localAccess,adaptation,status
UnifiedDocumentRecognitionService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:230,AcademicTerm,UnifiedAcademicCatalogReads via IUnifiedUnitOfWork + existing repositories,Local snapshot only. Preserve external IDs in existing selector DTOs and local keys for persistence; no HTTP fallback. See local-catalog-consumers-report.md.,MIGRATED_LOCAL
UnifiedGroupService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:762,AcademicTerm,UnifiedAcademicCatalogReads via IUnifiedUnitOfWork + existing repositories,Local snapshot only. Preserve external IDs in existing selector DTOs and local keys for persistence; no HTTP fallback. See local-catalog-consumers-report.md.,MIGRATED_LOCAL
UnifiedProjectService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1023,AcademicTerm,UnifiedAcademicCatalogReads via IUnifiedUnitOfWork + existing repositories,Local snapshot only. Preserve external IDs in existing selector DTOs and local keys for persistence; no HTTP fallback. See local-catalog-consumers-report.md.,MIGRATED_LOCAL
UnifiedProjectService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1808,AcademicTerm,UnifiedAcademicCatalogReads via IUnifiedUnitOfWork + existing repositories,Local snapshot only. Preserve external IDs in existing selector DTOs and local keys for persistence; no HTTP fallback. See local-catalog-consumers-report.md.,MIGRATED_LOCAL
UnifiedProjectService,ExternalAcademicsService.GetFacultiesAsync,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1054,Faculty hierarchy,UnifiedAcademicCatalogReads via IUnifiedUnitOfWork + existing repositories,Local snapshot only. Preserve external IDs in existing selector DTOs and local keys for persistence; no HTTP fallback. See local-catalog-consumers-report.md.,MIGRATED_LOCAL
DocumentRecognitionService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Implementations/DocumentRecognitionService.cs:229,AcademicTerm,IUnifiedUnitOfWork.AcademicTerms.Query()/GetAllAsync; GetByExternalPeriodIdAsync(externalId),Use AcademicTermId as FK; retain ExternalPeriodId for joins with distributivos/directory. Never relabel local ID as PeriodId.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
GroupService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Implementations/GroupService.cs:749,AcademicTerm,IUnifiedUnitOfWork.AcademicTerms.Query()/GetAllAsync; GetByExternalPeriodIdAsync(externalId),Use AcademicTermId as FK; retain ExternalPeriodId for joins with distributivos/directory. Never relabel local ID as PeriodId.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ProjectFlatReportService,ExternalAcademicsService.GetFacultiesAsync,tesisproject.backend/Services/Implementations/ProjectFlatReportService.cs:432,Faculty hierarchy,IUnifiedFacultyQueryService.GetRootsAsync/GetChildrenAsync/GetHierarchyAsync; IUnifiedFacultyRepository.GetByExternalFacultyIdAsync,SYNC_CATALOG: roots and descendants. Root-only selections must filter ParentFacultyId == null after full hierarchy sync. Local FacultyId is FK; ExternalFacultyId resolves institutional faculty/career IDs. No business substitution in this phase. Unified verified this phase: active roots for bootstrap; complete PK dictionary for reports.,ALREADY_LOCAL_IN_UNIFIED; legacy still external
ProjectService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Implementations/ProjectService.cs:469,AcademicTerm,IUnifiedUnitOfWork.AcademicTerms.Query()/GetAllAsync; GetByExternalPeriodIdAsync(externalId),Use AcademicTermId as FK; retain ExternalPeriodId for joins with distributivos/directory. Never relabel local ID as PeriodId.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ProjectService,ExternalPeriodsClient.GetAllAsync,tesisproject.backend/Services/Implementations/ProjectService.cs:1165,AcademicTerm,IUnifiedUnitOfWork.AcademicTerms.Query()/GetAllAsync; GetByExternalPeriodIdAsync(externalId),Use AcademicTermId as FK; retain ExternalPeriodId for joins with distributivos/directory. Never relabel local ID as PeriodId.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ProjectService,ExternalAcademicsService.GetFacultiesAsync,tesisproject.backend/Services/Implementations/ProjectService.cs:1196,Faculty hierarchy,IUnifiedFacultyQueryService.GetRootsAsync/GetChildrenAsync/GetHierarchyAsync; IUnifiedFacultyRepository.GetByExternalFacultyIdAsync,SYNC_CATALOG: roots and descendants. Root-only selections must filter ParentFacultyId == null after full hierarchy sync. Local FacultyId is FK; ExternalFacultyId resolves institutional faculty/career IDs. No business substitution in this phase.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ProjectsFiltersService,ExternalAcademicsService.GetFacultiesKeyValuesAsync,tesisproject.backend/Services/Implementations/ProjectsFiltersService.cs:51,Faculty hierarchy,IUnifiedFacultyQueryService.GetRootsAsync/GetChildrenAsync/GetHierarchyAsync; IUnifiedFacultyRepository.GetByExternalFacultyIdAsync,SYNC_CATALOG: roots and descendants. Root-only selections must filter ParentFacultyId == null after full hierarchy sync. Local FacultyId is FK; ExternalFacultyId resolves institutional faculty/career IDs. No business substitution in this phase. Unified verified this phase: active roots for bootstrap; complete PK dictionary for reports.,ALREADY_LOCAL_IN_UNIFIED; legacy still external
ExternalAcademicsService contract; no recorded business call site,ExternalAcademicsService.GetProgramsByFacultyIdAsync,tesisproject.backend/Services/Implementations/ExternalAcademicsService.cs,Faculty hierarchy,GetChildrenAsync(localParentFacultyId),SYNC_CATALOG: all hierarchy nodes now cached. Resolve external input IDs before local children queries; preserve external IDs in legacy projections. Inventory capability only; not a new business call site.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ExternalAcademicsService contract; no recorded business call site,ExternalAcademicsService.GetProgramByIdAsync,tesisproject.backend/Services/Implementations/ExternalAcademicsService.cs,Faculty hierarchy,GetByExternalFacultyIdAsync(externalNodeId),SYNC_CATALOG: all hierarchy nodes now cached. Resolve external input IDs before local children queries; preserve external IDs in legacy projections. Inventory capability only; not a new business call site.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ExternalAcademicsService contract; no recorded business call site,ExternalAcademicsService.GetFacultiesWithProgramsAsync,tesisproject.backend/Services/Implementations/ExternalAcademicsService.cs,Faculty hierarchy,GetHierarchyAsync(),SYNC_CATALOG: all hierarchy nodes now cached. Resolve external input IDs before local children queries; preserve external IDs in legacy projections. Inventory capability only; not a new business call site.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
ExternalAcademicsService contract; no recorded business call site,ExternalAcademicsService.GetFacultyByIdAsync,tesisproject.backend/Services/Implementations/ExternalAcademicsService.cs,Faculty hierarchy,GetByExternalFacultyIdAsync(externalNodeId),SYNC_CATALOG: all hierarchy nodes now cached. Resolve external input IDs before local children queries; preserve external IDs in legacy projections. Inventory capability only; not a new business call site.,OUT_OF_SCOPE_LEGACY_OR_UNUSED_CONTRACT
