controller,unified,endpoint,route,verb,requestLegacy,requestUnified,responseLegacy,responseUnified,authorization,metadata,legacyService,unifiedService,statusCodes,classification,compatibility,note
AcademicPeriodsController,UnifiedAcademicPeriodsController,List,api/academicperiods,GET,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<AcademicPeriodListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<AcademicPeriodListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IExternalPeriodsClient.GetAllAsync,IExternalPeriodsClient.GetAllAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AcademicPeriodsController,UnifiedAcademicPeriodsController,GetById,api/academicperiods/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IExternalPeriodsClient.GetByIdAsync,IExternalPeriodsClient.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AcademicPeriodsController,UnifiedAcademicPeriodsController,GetKeyValues,api/academicperiods/keyvalues,GET,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=keyvalues,Order=0,Name=",IExternalPeriodsClient.GetAllAsync,IExternalPeriodsClient.GetAllAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AcademicPeriodsController,UnifiedAcademicPeriodsController,Create,api/academicperiods,POST,AcademicPeriodCreateRequestDTO body default= ;CancellationToken ct default= ,AcademicPeriodCreateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",,,500 unsupported;401/403 authorization,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AcademicPeriodsController,UnifiedAcademicPeriodsController,Update,api/academicperiods/{id:int},PUT,Int32 id default= ;AcademicPeriodUpdateRequestDTO body default= ;CancellationToken ct default= ,Int32 id default= ;AcademicPeriodUpdateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",,,500 unsupported;401/403 authorization,DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AuthController,UnifiedAuthController,Register,api/auth/register,POST,RegisterRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,RegisterRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,Task<ActionResult<ServiceResult<AuthResponse>>>,;,"HttpPostAttribute:HttpMethods=POST,Template=register,Order=0,Name=;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=200;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=400",IAuthService.RegisterAsync,IUnifiedAuthService.RegisterAsync,200;400;401;403;404;409;500 (ServiceResult),IDENTITY_BOUNDARY,INTENTIONAL_CHANGE,Unified Identity boundary may return explicit mapping/role/pending-change failures using unchanged ServiceResult error contract.
AuthController,UnifiedAuthController,Login,api/auth/login,POST,LoginRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,LoginRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,Task<ActionResult<ServiceResult<AuthResponse>>>,;;anonymous,"AllowAnonymousAttribute:;HttpPostAttribute:HttpMethods=POST,Template=login,Order=0,Name=;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=200;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=400;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=401",IAuthService.LoginAsync,IUnifiedAuthService.LoginAsync,200;400;401;403;404;409;500 (ServiceResult),IDENTITY_BOUNDARY,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AuthController,UnifiedAuthController,Refresh,api/auth/refresh,POST,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,Task<ActionResult<ServiceResult<AuthResponse>>>,;;anonymous,"AllowAnonymousAttribute:;HttpPostAttribute:HttpMethods=POST,Template=refresh,Order=0,Name=;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=200;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.DTOs.Auth.AuthResponse],StatusCode=401",IAuthService.RefreshAsync,IUnifiedAuthService.RefreshAsync,200;400;401;403;404;409;500 (ServiceResult),IDENTITY_BOUNDARY,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
AuthController,UnifiedAuthController,Logout,api/auth/logout,POST,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,";roles=,policy=,schemes=","AuthorizeAttribute:Policy=,Roles=,AuthenticationSchemes=;HttpPostAttribute:HttpMethods=POST,Template=logout,Order=0,Name=;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.Responses.NoContent],StatusCode=200;ProducesResponseTypeAttribute:Type=tesisproject.shared.Responses.ServiceResult`1[tesisproject.shared.Responses.NoContent],StatusCode=401",IAuthService.RevokeAsync,IUnifiedAuthService.RevokeAsync,200;400;401;403;404;409;500 (ServiceResult),IDENTITY_BOUNDARY,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,Create,api/budgets,POST,CreateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,CreateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,Task<ActionResult<ServiceResult<BudgetDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IBudgetService.CreateAsync,IUnifiedBudgetService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
