controller,unified,endpoint,route,verb,legacyService,unifiedService,requestLegacy,responseLegacy,statusCodes,authorization,classification
AcademicPeriodsController,UnifiedAcademicPeriodsController,List,api/academicperiods,GET,IExternalPeriodsClient.GetAllAsync,IExternalPeriodsClient.GetAllAsync,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<AcademicPeriodListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
AcademicPeriodsController,UnifiedAcademicPeriodsController,GetById,api/academicperiods/{id:int},GET,IExternalPeriodsClient.GetByIdAsync,IExternalPeriodsClient.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
AcademicPeriodsController,UnifiedAcademicPeriodsController,GetKeyValues,api/academicperiods/keyvalues,GET,IExternalPeriodsClient.GetAllAsync,IExternalPeriodsClient.GetAllAsync,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
AcademicPeriodsController,UnifiedAcademicPeriodsController,Create,api/academicperiods,POST,,,AcademicPeriodCreateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,500 unsupported;401/403 authorization,"roles=superadmin,policy=,schemes=;",DIRECT
AcademicPeriodsController,UnifiedAcademicPeriodsController,Update,api/academicperiods/{id:int},PUT,,,Int32 id default= ;AcademicPeriodUpdateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<AcademicPeriodListItemDTO>>>,500 unsupported;401/403 authorization,"roles=superadmin,policy=,schemes=;",DIRECT
AuthController,UnifiedAuthController,Register,api/auth/register,POST,IAuthService.RegisterAsync,IUnifiedAuthService.RegisterAsync,RegisterRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,200;400;401;403;404;409;500 (ServiceResult),;,IDENTITY_BOUNDARY
AuthController,UnifiedAuthController,Login,api/auth/login,POST,IAuthService.LoginAsync,IUnifiedAuthService.LoginAsync,LoginRequest dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,200;400;401;403;404;409;500 (ServiceResult),;;anonymous,IDENTITY_BOUNDARY
AuthController,UnifiedAuthController,Refresh,api/auth/refresh,POST,IAuthService.RefreshAsync,IUnifiedAuthService.RefreshAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<AuthResponse>>>,200;400;401;403;404;409;500 (ServiceResult),;;anonymous,IDENTITY_BOUNDARY
AuthController,UnifiedAuthController,Logout,api/auth/logout,POST,IAuthService.RevokeAsync,IUnifiedAuthService.RevokeAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),";roles=,policy=,schemes=",IDENTITY_BOUNDARY
BudgetsController,UnifiedBudgetsController,Create,api/budgets,POST,IBudgetService.CreateAsync,IUnifiedBudgetService.CreateAsync,CreateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,GetById,api/budgets/{id:int},GET,IBudgetService.GetByIdAsync,IUnifiedBudgetService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,List,api/budgets,GET,IBudgetService.GetAllAsync,IUnifiedBudgetService.GetAllAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,GetByProjectId,api/budgets/project/{projectId:int},GET,IBudgetService.GetByProjectIdAsync,IUnifiedBudgetService.GetByProjectIdAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,Update,api/budgets/{id:int},PUT,IBudgetService.UpdateAsync,IUnifiedBudgetService.UpdateAsync,Int32 id default= ;UpdateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,Delete,api/budgets/{id:int},DELETE,IBudgetService.DeleteAsync,IUnifiedBudgetService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,AddCertification,api/budgets/{budgetId:int}/certifications,POST,IBudgetService.AddCertificationAsync,IUnifiedBudgetService.AddCertificationAsync,Int32 budgetId default= ;AddCertificationRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,ExecuteDevengado,api/budgets/transactions/{transactionId:int}/devengar,POST,IBudgetService.ExecuteDevengadoAsync,IUnifiedBudgetService.ExecuteDevengadoAsync,Int32 transactionId default= ;ExecuteDevengadoRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,GetTransactions,api/budgets/{budgetId:int}/transactions,GET,IBudgetService.GetTransactionsAsync,IUnifiedBudgetService.GetTransactionsAsync,Int32 budgetId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetTransactionDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,CancelTransaction,api/budgets/transactions/{transactionId:int}/cancel,PUT,IBudgetService.CancelTransactionAsync,IUnifiedBudgetService.CancelTransactionAsync,Int32 transactionId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
BudgetsController,UnifiedBudgetsController,UpdateTransaction,api/budgets/transactions/{transactionId:int},PUT,IBudgetService.UpdateTransactionAsync,IUnifiedBudgetService.UpdateTransactionAsync,Int32 transactionId default= ;UpdateBudgetTransactionRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,GetAll,api/convocations,GET,IConvocationService.ListAsync,IUnifiedConvocationService.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ConvocationListItemResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,GetById,api/convocations/{id:int},GET,IConvocationService.GetByIdAsync,IUnifiedConvocationService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,Create,api/convocations,POST,IConvocationService.CreateAsync,IUnifiedConvocationService.CreateAsync,ConvocationCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,Update,api/convocations/{id:int},PUT,IConvocationService.UpdateAsync,IUnifiedConvocationService.UpdateAsync,Int32 id default= ;ConvocationUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,ActivateExclusive,api/convocations/{id:int}/activate,POST,IConvocationService.ActivateExclusiveAsync,IUnifiedConvocationService.ActivateExclusiveAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,AddRule,api/convocations/{id:int}/rules,POST,IConvocationService.AddRuleAsync,IUnifiedConvocationService.AddRuleAsync,Int32 id default= ;ConvocationRuleCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,UpdateRule,api/convocations/{id:int}/rules/{ruleId:int},PUT,IConvocationService.UpdateRuleAsync,IUnifiedConvocationService.UpdateRuleAsync,Int32 id default= ;Int32 ruleId default= ;ConvocationRuleUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ConvocationsController,UnifiedConvocationsController,RemoveRule,api/convocations/{id:int}/rules/{ruleId:int},DELETE,IConvocationService.RemoveRuleAsync,IUnifiedConvocationService.RemoveRuleAsync,Int32 id default= ;Int32 ruleId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
CountriesController,UnifiedCountriesController,List,api/countries,GET,ICountryService.ListAsync,IUnifiedCountryService.ListAsync,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CountryListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
CountriesController,UnifiedCountriesController,GetById,api/countries/{id:int},GET,ICountryService.GetByIdAsync,IUnifiedCountryService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
CountriesController,UnifiedCountriesController,GetKeyValues,api/countries/keyvalues,GET,ICountryService.GetKeyValuesAsync,IUnifiedCountryService.GetKeyValuesAsync,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
CountriesController,UnifiedCountriesController,Create,api/countries,POST,ICountryService.CreateAsync,IUnifiedCountryService.CreateAsync,AddCountryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
CountriesController,UnifiedCountriesController,Update,api/countries/{id:int},PUT,ICountryService.UpdateAsync,IUnifiedCountryService.UpdateAsync,Int32 id default= ;UpdateCountryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
DocumentRecognitionController,UnifiedDocumentRecognitionController,AnalyzeResolution,api/documentrecognition/analyze-resolution,POST,IDocumentRecognitionService.RecognizeResolutionAsync,IUnifiedDocumentRecognitionService.RecognizeResolutionAsync,IFormFile file default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ResolutionInfo>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
DocumentRecognitionController,UnifiedDocumentRecognitionController,AnalyzeDideProject,api/documentrecognition/analyze-dide-project,POST,IDocumentRecognitionService.RecognizeDideProjectAsync,IUnifiedDocumentRecognitionService.RecognizeDideProjectAsync,IFormFile file default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<DideProjectFormInfo>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
DocumentsController,UnifiedDocumentsController,Create,api/documents,POST,IDocumentService.UploadAsync,IUnifiedDocumentService.UploadAsync,UploadDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromFormAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
DocumentsController,UnifiedDocumentsController,GetById,api/documents/{id:int},GET,IDocumentService.GetByIdAsync,IUnifiedDocumentService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
DocumentsController,UnifiedDocumentsController,Update,api/documents/{id:int},PUT,IDocumentService.UpdateAsync,IUnifiedDocumentService.UpdateAsync,Int32 id default= ;UpdateDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
