client,method,remote,projectsConsumers,data,classification,localTable,synchronizable
ExternalAcademicsService,GetFacultiesWithProgramsAsync,GET /api/facultades,No business-service call found in bounded Projects source; interface capability only,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalAcademicsService,GetFacultyByIdAsync,GET /api/facultades,No business-service call found in bounded Projects source; interface capability only,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalAcademicsService,GetProgramsByFacultyIdAsync,GET /api/facultades,No business-service call found in bounded Projects source; interface capability only,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalAcademicsService,GetProgramByIdAsync,GET /api/facultades,No business-service call found in bounded Projects source; interface capability only,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalAcademicsService,GetFacultiesAsync,GET /api/facultades,ProjectFlatReportService; ProjectService; UnifiedProjectService,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalAcademicsService,GetFacultiesKeyValuesAsync,GET /api/facultades,ProjectsFiltersService,ExternalFacultyCareerFlatModel -> ExternalFacultyDTO/ExternalProgramDTO/KeyValueItemDTO,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,DocumentRecognitionService; GroupService; ProjectService; UnifiedDocumentRecognitionService; UnifiedGroupService; UnifiedProjectService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes
ExternalPeriodsClient,GetByNamesAsync,GET /api/periodos?nombres={comma-separated names},No business-service call found in bounded Projects source; interface capability only,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes
ExternalPeriodsClient,GetByIdAsync,GET /api/periodos/{id},No business-service call found in bounded Projects source; interface capability only,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,GroupService; ProjectFlatReportService; ProjectService; UnifiedGroupService; UnifiedProjectFlatReportService; UnifiedProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,No directory mirror; AppUser holds mapping only,no
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={comma-separated emails},DocumentRecognitionService; GroupService; ProjectService; UnifiedDocumentRecognitionService; UnifiedGroupService; UnifiedProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,No directory mirror; AppUser holds mapping only,no
ExternalDirectoryClient,GetByDocumentsAsync,GET /api/usuarios?documents={comma-separated documents},No business-service call found in bounded Projects source; interface capability only,ExternalUserProfileModel,IDENTITY_DIRECTORY,No directory mirror; AppUser holds mapping only,no
ExternalDistributivosService,GetDistributivosAsync,GET /api/distributivos,No business-service call found in bounded Projects source; interface capability only,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
ExternalDistributivosService,GetDistributivosByCedulasAsync,GET /api/distributivos?cedulas={values},No business-service call found in bounded Projects source; interface capability only,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={values},DocumentRecognitionService; GroupService; ProjectService; UnifiedDocumentRecognitionService; UnifiedGroupService; UnifiedProjectService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
ExternalDistributivosService,GetDistributivosByPeriodosAsync,GET /api/distributivos?periodos={values},No business-service call found in bounded Projects source; interface capability only,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
ExternalDistributivosService,GetDistributivosByFacultadesAsync,GET /api/distributivos?facultades={values},No business-service call found in bounded Projects source; interface capability only,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
ExternalDistributivosService,GetDistributivoByIdAsync,"GET /api/distributivos (fetch all, local filter)",No business-service call found in bounded Projects source; interface capability only,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no
