client,method,remote,consumer,data,classification,localTable,synchronizable,source
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedDocumentRecognitionService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:223
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,UnifiedDocumentRecognitionService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:230
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},UnifiedDocumentRecognitionService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:241
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:254
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:324
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:366
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:403
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:489
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedGroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:1000
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,UnifiedGroupService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:762
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},UnifiedGroupService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:791
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,UnifiedProjectFlatReportService,ExternalUserProfileModel,REPORT_ENRICHMENT,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectFlatReportService.cs:434
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,UnifiedProjectService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1023
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,UnifiedProjectService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1808
ExternalAcademicsService,GetFacultiesAsync,GET /api/facultades,UnifiedProjectService,Faculty + nested Program,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1054
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,UnifiedProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1092
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},UnifiedProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1795
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},UnifiedProjectService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1821
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},DocumentRecognitionService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/DocumentRecognitionService.cs:222
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,DocumentRecognitionService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Implementations/DocumentRecognitionService.cs:229
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},DocumentRecognitionService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Implementations/DocumentRecognitionService.cs:240
