Legacy,Unified,Classification,Status,Dependencies,Repositories,DTOs
AppConfigurationRepository,,OUT_OF_SCOPE,OUT_OF_SCOPE,[],,
AppUserService,UnifiedAppUserService,LOGIC_CHANGE,CREATED,"[('UserManager<IdentityUser<int>>', '_userManager'), ('IAppUserRepository', '_appUsers'), ('IUnitOfWork', '_uow'), ('IUserRoleService', '_userRoles')]",,InvalidRequest;RegisterRequest
ArticleQueryService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('IArticleReadRepository', '_repository'), ('ILogger<ArticleQueryService>', '_logger')]",,
ArticleRegistrationCommandService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('ArticlesDbContext', '_ctx'), ('ILogger<ArticleRegistrationCommandService>', '_logger')]",,RegisterArticleAggregateRequest;RegisterArticleAggregateResponse
ArticleUserContext,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('IHttpContextAccessor', '_httpContextAccessor'), ('IAppUserRepository', '_appUsers')]",,
AuthService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('UserManager<IdentityUser<int>>', '_userManager'), ('SignInManager<IdentityUser<int>>', '_signInManager'), ('ITokenService', '_tokenService'), ('IRefreshTokenService', '_refreshTokens'), ('IAppUserService', '_appUserRegistration')]",,AuthResponse;LoginRequest;RegisterRequest
BudgetService,UnifiedBudgetService,DIRECT,CREATED,"[('IUnitOfWork', '_uow'), ('ICurrentUserService', '_currentUser')]",AppUsers;Budgets;Projects,AddCertificationRequestDTO;BudgetDTO;BudgetListItemDTO;BudgetTransactionDTO;CreateBudgetRequestDTO;ExecuteDevengadoRequestDTO;MapToDTO;Request;UpdateBudgetRequestDTO;UpdateBudgetTransactionRequestDTO
CatalogCrudService,UnifiedCatalogCrudService,ADAPTABLE,CREATED,"[('IUnitOfWork', '_uow'), ('ICatalogRepository<TCatalog>', '_repo')]",,AddCatalogRequestDTO;CatalogDetailDTO;CatalogListItemDTO;Request;Response;UpdateCatalogRequestDTO
CatalogQueryService,UnifiedCatalogQueryService,ADAPTABLE,CREATED,"[('IServiceProvider', '_sp')]",,KeyValueItemDTO
ConvocationService,UnifiedConvocationService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",Convocations,ConvocationCreateRequestDTO;ConvocationDetailResponseDTO;ConvocationListItemResponseDTO;ConvocationRuleCreateRequestDTO;ConvocationRuleResponseDTO;ConvocationRuleUpdateRequestDTO;ConvocationUpdateRequestDTO;InvalidRequest;MapRuleToDTO;MapToDetailDTO;MapToListDTO;Request;Response
CountryService,UnifiedCountryService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",Countries,AddCountryRequestDTO;CountryDetailDTO;CountryListItemDTO;InvalidRequest;KeyValueItemDTO;Request;Response;UpdateCountryRequestDTO
CurrentUserService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('IHttpContextAccessor', '_httpContextAccessor')]",,
DisabledArticleQueryService,,OUT_OF_SCOPE,OUT_OF_SCOPE,[],,
DisabledArticleRegistrationCommandService,,OUT_OF_SCOPE,OUT_OF_SCOPE,[],,RegisterArticleAggregateRequest;RegisterArticleAggregateResponse
DisabledRegistrationMatrixService,,OUT_OF_SCOPE,OUT_OF_SCOPE,[],,CreateRegistrationMatrixRequest;SubmitRegistrationMatrixRequest;UpdateRegistrationMatrixCellRequest
DocumentRecognitionService,UnifiedDocumentRecognitionService,EXTERNAL_BOUNDARY,CREATED,"[('ILogger<IDocumentRecognitionService>', '_logger'), ('IExternalDirectoryClient', '_externalDirectory'), ('IMemberRoleTypeService', '_memberRoleTypeService'), ('ICatalogCrudService<ProjectType>', '_projectTypeService'), ('IExternalPeriodsClient', '_periods'), ('IExternalDistributivosService', '_distributivos'), ('DocumentRecognitionOptions', '_opt')]",,Response
