Service,Method,Source,Classification,Status,SaveChangesLines,Repositories,Calls
BudgetService,AddCertificationAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:261,DIRECT,CREATED,308,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,BudgetService,tesisproject.backend/Services/Implementations/BudgetService.cs:28,DIRECT,CREATED,,,
BudgetService,CancelTransactionAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:444,DIRECT,CREATED,498,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,CreateAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:129,DIRECT,CREATED,165,Budgets;Projects;SaveChangesAsync,_uow.Budgets;_uow.Projects;_uow.SaveChangesAsync
BudgetService,DeleteAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:233,DIRECT,CREATED,247,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,ExecuteDevengadoAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:326,DIRECT,CREATED,398,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,FailActorUserNotFound,tesisproject.backend/Services/Implementations/BudgetService.cs:676,DIRECT,CREATED,,,
BudgetService,FailConflict,tesisproject.backend/Services/Implementations/BudgetService.cs:682,DIRECT,CREATED,,,
BudgetService,FailUnauthorized,tesisproject.backend/Services/Implementations/BudgetService.cs:670,DIRECT,CREATED,,,
BudgetService,FailUnexpected,tesisproject.backend/Services/Implementations/BudgetService.cs:688,DIRECT,CREATED,,,
BudgetService,GetAllAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:38,DIRECT,CREATED,,Budgets,_uow.Budgets
BudgetService,GetByIdAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:72,DIRECT,CREATED,,Budgets,_uow.Budgets
BudgetService,GetByProjectIdAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:94,DIRECT,CREATED,,Budgets,_uow.Budgets
BudgetService,GetExistingActorUserIdAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:663,DIRECT,CREATED,,AppUsers,_currentUser.GetRequiredUserId;_uow.AppUsers
BudgetService,GetTransactionsAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:418,DIRECT,CREATED,,Budgets,_uow.Budgets
BudgetService,Map,tesisproject.backend/Services/Implementations/BudgetService.cs:731,DIRECT,CREATED,,,
BudgetService,MapToDTO,tesisproject.backend/Services/Implementations/BudgetService.cs:718,DIRECT,CREATED,,,
BudgetService,UpdateAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:185,DIRECT,CREATED,215,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,UpdateTransactionAsync,tesisproject.backend/Services/Implementations/BudgetService.cs:514,DIRECT,CREATED,641,Budgets;SaveChangesAsync,_uow.Budgets;_uow.SaveChangesAsync
BudgetService,ValidationFailure,tesisproject.backend/Services/Implementations/BudgetService.cs:694,DIRECT,CREATED,,,
CatalogCrudService,CatalogCrudService,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:38,ADAPTABLE,CREATED,,,
CatalogCrudService,CreateAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:110,ADAPTABLE,CREATED,141,SaveChangesAsync,_repo.AddAsync;_repo.NameExistsAsync;_uow.SaveChangesAsync
CatalogCrudService,DeleteAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:285,ADAPTABLE,CREATED,317,SaveChangesAsync,_repo.GetByIdAsync;_repo.Remove;_uow.SaveChangesAsync
CatalogCrudService,FailConflict,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:347,ADAPTABLE,CREATED,,,
CatalogCrudService,FailUnexpected,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:353,ADAPTABLE,CREATED,,,
CatalogCrudService,GetByIdAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:75,ADAPTABLE,CREATED,,,_repo.GetByIdAsync
CatalogCrudService,ListAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:46,ADAPTABLE,CREATED,,,_repo.ListAsync
CatalogCrudService,MapToDetail,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:393,ADAPTABLE,CREATED,,,
CatalogCrudService,MapToListItem,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:385,ADAPTABLE,CREATED,,,
CatalogCrudService,SaveAndOkAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:334,ADAPTABLE,CREATED,340,SaveChangesAsync,_repo.Update;_uow.SaveChangesAsync
CatalogCrudService,UpdateAsync,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:159,ADAPTABLE,CREATED,261,SaveChangesAsync,_repo.AddAsync;_repo.GetByIdAsync;_repo.HasReferencesAsync;_repo.ListAsync;_repo.NameExistsAsync;_repo.Update;_uow.SaveChangesAsync
CatalogCrudService,ValidationFailure,tesisproject.backend/Services/Implementations/CatalogCrudService.cs:359,ADAPTABLE,CREATED,,,
CatalogQueryService,CatalogQueryService,tesisproject.backend/Services/Implementations/CatalogQueryService.cs:25,ADAPTABLE,CREATED,,,
CatalogQueryService,GetKeyValuesAsync,tesisproject.backend/Services/Implementations/CatalogQueryService.cs:30,ADAPTABLE,CREATED,,,_sp.GetRequiredService
