Service,Method,External client,External method,Call remains?,Reason,Category,Source
UnifiedDocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / identity mapping or report enrichment,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:224
UnifiedDocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,yes,Live teaching assignments and hours; period/career IDs remain external,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedDocumentRecognitionService.cs:236
UnifiedGroupService,GetExternalUsersByGroupAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:251
UnifiedGroupService,GetExternalUserByAspNetIdAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:321
UnifiedGroupService,GetExternalUserByEmailAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:363
UnifiedGroupService,GetAllExternalUsersAsync,ExternalDirectoryClient,GetAllAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:400
UnifiedGroupService,PrepareCoordinatorFacultyAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:486
UnifiedGroupService,LoadExternalPeriodsAndDistributivosAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,yes,Live teaching assignments and hours; period/career IDs remain external,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:782
UnifiedGroupService,GetProjectMembersReportAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / affiliations; not an AppUser profile mirror,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedGroupService.cs:991
UnifiedProjectFlatReportService,LoadExternalProfilesAsync,ExternalDirectoryClient,GetAllAsync,yes,Live institutional profiles / identity mapping or report enrichment,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectFlatReportService.cs:434
UnifiedProjectService,ImportFromMatrixAsync,ExternalDirectoryClient,GetAllAsync,yes,Live institutional profiles / identity mapping or report enrichment,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1077
UnifiedProjectService,PrepareFullProjectFacultyAsync,ExternalDirectoryClient,GetByEmailsAsync,yes,Live institutional profiles / identity mapping or report enrichment,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1780
UnifiedProjectService,PrepareFullProjectFacultyAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,yes,Live coordinator career selection; period/career IDs remain external,BUSINESS_SERVICE_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedProjectService.cs:1798
UnifiedProjectService,ImportFromMatrixAsync,ExternalPeriodsClient,GetAllAsync,no,Replaced by local synchronized catalog; no HTTP fallback,BUSINESS_SERVICE_EXTERNAL_CALL,see local-catalog-consumers-initial.csv
UnifiedProjectService,ImportFromMatrixAsync,ExternalAcademicsService,GetFacultiesAsync,no,Replaced by local synchronized catalog; no HTTP fallback,BUSINESS_SERVICE_EXTERNAL_CALL,see local-catalog-consumers-initial.csv
UnifiedProjectService,PrepareFullProjectFacultyAsync,ExternalPeriodsClient,GetAllAsync,no,Replaced by local synchronized catalog; no HTTP fallback,BUSINESS_SERVICE_EXTERNAL_CALL,see local-catalog-consumers-initial.csv
UnifiedGroupService,LoadExternalPeriodsAndDistributivosAsync,ExternalPeriodsClient,GetAllAsync,no,Replaced by local synchronized catalog; no HTTP fallback,BUSINESS_SERVICE_EXTERNAL_CALL,see local-catalog-consumers-initial.csv
UnifiedDocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalPeriodsClient,GetAllAsync,no,Replaced by local synchronized catalog; no HTTP fallback,BUSINESS_SERVICE_EXTERNAL_CALL,see local-catalog-consumers-initial.csv
UnifiedFacultySynchronizationService,SynchronizeAsync,IUnifiedAcademicCatalogSnapshotClient,GetFacultiesAsync,yes,Administrative catalog snapshot ingestion; excluded from business call totals,SYNCHRONIZATION_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedFacultySynchronizationService.cs
UnifiedAcademicTermSynchronizationService,SynchronizeAsync,IUnifiedAcademicCatalogSnapshotClient,GetAcademicTermsAsync,yes,Administrative catalog snapshot ingestion; excluded from business call totals,SYNCHRONIZATION_EXTERNAL_CALL,tesisproject.backend/Services/Unified/Implementations/UnifiedAcademicTermSynchronizationService.cs
